k,threshold,restricted,caught,wrongly_cut,missed,do_nothing,with_policy,oracle,gain,share_of_oracle
30,0.8,760,86,674,0,3166965.8774999995,2965323.51945,3193831.26243,-201642.35804999946,-7.505656761494042
30,0.9,380,86,294,0,3166965.8774999995,3074958.7249499997,3193831.26243,-92007.15254999977,-3.424747227323557
30,0.95,190,86,104,0,3166965.8774999995,3137550.74307,3193831.26243,-29415.134429999627,-1.0949083553666739
30,0.97,114,86,28,0,3166965.8774999995,3186803.7935999995,3193831.26243,19837.91610000003,0.7384192019466277
30,0.98,76,75,1,11,3166965.8774999995,3187869.25734,3193831.26243,20903.379840000533,0.778078553293226
30,0.99,38,38,0,48,3166965.8774999995,3194006.9610599997,3193831.26243,27041.083560000174,1.006539963244797
